"리얼베리어
를 다시 사용하게 되었어요!
작년 여름에 이것저것 환경 호르몬? 뭐 다양한 변화로
얼굴이 한번 뒤집어 진적이 있어
다시 순한 제품을 찾다 
정착하게 된 제품이에요!
작년 2020 여름에 구매했던 것을 이제야 올리는...
최강 귀차니즘...블로거...허허..
정말 이것저것 다 주문했었어요!
여름이라 유분감은 덜하고 수분감만 꽉 채워주려고
아쿠아수딩 제품들로 주문을 했답니다
거기에 컨트롤T스팟겔 까지 주문했어요
여름이지만 유분감은 덜하고 수분을 채워주야하기 때문에
아쿠아수딩토너 크림 이렇게 주문을 했는데
요거요거 좋더라구요!
다만 여름에는 수분감만 채워야지하고 쓰기 괜찮았는데
겨울에 쓰면 좀 건조한 느낌 들긴 합니다ㅜㅠㅠ
수분이 부족한 느낌이여서 여름에 쓰는걸 추천 드립니다!
아쿠아수딩젤크림
요것도 여름에서 겨울 초 까지 정말 잘 사용했던 크림!
근데 진짜 건조하니까 겨울에는 익스트림크림 강추 ㅎㅎㅎ!
이건 제품들 구매했을때 쯤 출시됐길래 같이 샀는데
여드름 올라오는 자리에 톡톡 겔을 얹어주고 톡톡 두드려주면
생각보다 여드름이 쉽게 사그라드는 느낌이더라구요
다 써서 또 구매할 예정입니다 좋아용ㅎㅎ!!
요건 서비수 
많이 사서 딸려온 비타민D젤리 인데 상콤함 살짝 쌉쌀한 오렌지맛의 젤리였어요
괜찮더라구요~ 
얘도 판매하던 제품인데 따로 사먹어보진 않았고
이렇게 사은품으로 왔을때만 먹어봤네영!
초겨울 쯤 또 주문을 했지영
아쿠아는 건조할 것을 미리 감지하고
익스트림 토너 + 크림 주문을 또 했어요!
저는 익스트림크림 정말 강추해요
순하고 수분감도 꽉채워지는 느낌이라 진짜 좋아요!
유분감은 거의 없어서
수분만 진짜 꽉 채워지는 느낌이랄까영
형태는 약간 꾸덕한 형태인데 얼굴에 바를때 체온으로 살짝 녹으면서 부드럽게
발리는 것이 좋아여!
원래 토너랑 크림 같이 써야 수분감이 더 채워지는건데
전 여름에 쓰던 아쿠아토너가 남아서
아쿠아토너 + 익스트림크림 이렇게 사용하다보니ㅜㅜ
그래서 더 건조했던 느낌이 들었나봐영!!
지금은 익스트림토너 + 크림 이렇게 사용하니까
확실히 아침까지 촉촉한 느낌이 듭니다 ㅎㅎㅎ
순한기초제품 찾으신다면 저는 리얼베리어
제품들 추천해용 :)",
"소문듣고 직접 사서 써보고 정말 맘에 들어서 4통째 사용 중인 피부장벽크림!
리얼베리어 '익스트림 크림'을 소개 합니다!
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
오늘은 레아떼가 살면서 가장 많이 산 피부장벽크림을 소개해 드리려고 가져왔어요!
이웃님들은 내 피부를 위한 꿀조합 템을 가지고 계신가요??
사실 저는 지금까지도 완벽하게 제 피부에 딱!이라고 생각되는 완벽한 기초화장품 조합을 찾지 못했어요.
매번 새 화장품을 반통 쯤 쓸때까지는 피부에 잘 맞는 듯?하다가 컨디션이 좋지 않거나 무슨 이유에서건 한번씩
본 기능을 잘 하는지 의구심이 드는 경우가 많더라구요. (뭐 민감한 제 피부탓도 있는 것 같지만..ㅋ)
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
피부장벽크림으로 매우매우 유명한 리얼 베리어 익스트림 크림이에요!
얼마간 티비 광고에 등장한 제품이라서 아마 '아! 이제품!'이라고 생각하시는 분들이 많을 거라고 생각해요.
'리얼베리어'는 네오팜이라는 브랜드의 피부보습장벽강화 라인이에요.
리얼베리어 보습장벽크림은 '인텐스 모이스처 크림'과 '익스트림 크림'로 두 가지로 되어있는데요~
인텐스 모이스처는 묽은 밤타입?으로 가벼운 느낌이고 익스트림은 일반 수분크림처럼 인텐스에 비해 무거운 느낌의 제형이에요.
(지성 - 인텐스 모이스처  /  건성 - 익스트림 으로 사용하시면 될 것 같아요.)
저는 민감 + 건성 타입이기에 처음부터 익스트림 크림으로 구매해서 사용하였고 지금까지 쭉 같은 제품으로 사용하고 있답니다!
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
박스 위 동봉 필름을 제거하고 박스를 열어보면 군더더기 없는 화이트+실버 플라스틱 용기가 나와요.
손에 딱 잡히는 50ml 용량으로 단일 사이즈 랍니다.
리얼베리어 익스트림 크림은 피부장벽 강화, 72시간 보습 지속 효과 임상테스트를 완료한 제품으로
피부장벽크림이기에 당연 피부 자극 테스트도 완료! 레아떼와 같이 민감한 피부에도 안성맞춤인 보습크림이에요!
  벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
은색 뚜껑을 돌려서 열어 보면 공기 노출 방지를 위한 중간 마개가 있고
오픈 하면 새 하얀 익스트림 크림이 있답니다!
(중간 마개에 뭍은 크림도 아까운 저는 뚜껑에 뭍은 크림을 싹싹 긁어서 가장 먼저 써욥..ㅎ
꼭 요플레 뚜껑에 뭍은 요플레가 제일 맛있는 것과 비슷한 이치랄까요? 뚜껑꺼 쓸때가 제일 뿌듯?해요.ㅋㅋㅋㅋㅋㅋ)
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
사진으로 익스트림 크림의 쫀쫀한 질감이 느껴지시나요? 보는것보다 밀도 있고 쫀쫀한 제형이에요!
제가 이 크림을 좋아하는 이유 중에 하나 이기도 한데요.
밀도있는 제형이기에 너무 가볍지 않아서 충분히 보습기능이 있으면서
흡수가 빨라서 얼굴에 겉돌고 번지르르한 느낌없이 뽀송하게 마무리 된다는 점!! 
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림 크림
밀도 있지만 부드럽게 발리는 느낌이 좋아요!
제가 처음 구매할 때에는
가벼운 느낌의 인텐스 크림도 있기에 익스트림 크림은
혹, 너무 기름져서 좁살여드름을 유발할까봐 걱정을 하면서 주문했었는데요~
(저는 민감/건성 피부이고 유분이 많은 크림을 쓰면 유수분밸런스 붕괴?로 인해 좁쌀여드름 폭탄을 맞아요ㅠㅠ)
하지만,, 걱정은 노노!!
첫 한 통을 무사히 비워갈 때 쯔음, 환호하며 2통을 한꺼번에 주문하게 된 아이에요..ㅎㅎㅎ
정말 저처럼 크림 잘못쓰면 좁쌀여드름으로 고생하시는 분들.. 믿고쓰세요.. 레알 좋아요!!
(첫 구매 후 2통 함께 주문하여 세통을 싹싹 다 쓰고
두 통 추가 구매하여 한 통은 오빠 선물로 주고 한통은 제가 오픈 했답니다! ㅎㅎ 사용은 4통 째, 구매는 5통째네요.
선물까지 해 줄 정도로  개인적으로 너무 맘에 드는 피부보습 장벽크림이에요.) 
벌써 4통째! 내돈내산 피부장벽크림, 리얼베리어 익스트림크림
동영상으로 확인하시면 피부에 번지지함은 안느껴지고 가볍게 촉촉한 느낌으로 보이죠?
기름기가 끼지 않고 촉촉한 느낌으로 금방 흡수된 것을 보실 수 있어요!
(많은 포스팅에서 보셨다시피 저는 번들번들 기름기 줄줄..해서
촉촉함을 빙자한(!!) 기름기를 싫어합니다,, 뽀송하게 흡수되는게 최고!!)
리얼베리어 익스트림크림의 향은 과하지 않은 산뜻한 향으로 금방 날아가요.
약간 약?같은 향의 느낌도 있어서 플로럴/파우더리한 향을 선호하시거나 중요하게 생각하시는 분은
근처 드러그 샵에서 향 맡고 구매하시길 당부 드립니다.
(저는 정말 맡기싫은 약냄세나 너무 파우더리한 향을 선호하지 않고
무향이나 산뜻한 향을 선호하는 편이며 리얼베리어 익스트림 크림은 제 기준 '건강하고 산뜻한 향'입니다.)
개인적으로 잘 사용하고 있고 장기간 사용중이다 보니
타 제품과 비교해서 눈에 띄게 어떻다는 설명은 어려운 것 같아요.
간단하게,
""건성/민감 피부인 제게는 다른 트러블 없이 건조함도 잘 커버하는 크림""이에요!
단점 한가지가 있다면 크림을 조금 많이 사용해야 되서 사용량 대비 저렴한 편은 아니라는 점일까요?
크림 용량대비 가격이 매우 비싼편은 아니나 쫀쫀한 크림인데도 불구하고
충분한 보습감을 느끼기 위해서는 1회 사용량은 조금 많은 편이에요.
(뽀송한 마무리감 때문인지 많은 양을 바르게 되요. 하지만 흡수가 좋아서 화장 밀림은 없는 크림이에요!)
일시적인 수분 도포만으로 날아가는 수분을 잡지는 못하잖아요~
이제 밑빠진 장독에 물붓기는 그만!
환절기 고통밭는 우리네 피부를 위해 리얼베리어 익스트림 크림과 함께 피부 자체 힘의 강화로
튼튼한 보습력을 갖춘 건강한 피부로 가꾸어 보는 건 어떨까요?",
"솔직후기 보장하며 
2주간 사용 후 후기를 써본다
😶피부타입
이마에 좁쌀여드름 이 자주 나며 스트레스받거나 쓰던거 안쓰고 새로운거 도전해보거나 했을 때 트러블이 종종 올라오는 살짝 민감 트러블 피부. 반나절 생활 후 T존에 기름이 살짝 올라오지만 속건조가 있는 수부지 복합성 피부.
당첨 제품은 리얼베리어 익스트림 크림 앰플!
리얼베리어야 워낙에 수분크림으로 유명한 곳이었고, 
나도 사용해보고 싶었었는데 아직 도전해보진 않았다
그런데 크림앰플을 써볼 수 있어서 너무 좋았다 :)
👉향
향은 거의 안나는데 일부러 코를 대고 맡으면 살짝 난다
무슨 향인지는 설명을 못하겠당 
👉성분
성분이야 말해모해 말모말모! 약간 예민한 트러블 피부라 주의성분 있는 화장품은 웬만하면 사용하지 않는다. 리얼베리어 크림앰플 역시 유해성분 zero 에 피부장벽을 강화해주는 판테놀(무려 10,000ppm)과 마데카소사이드, 보습에 좋은 호호바씨오일 등 좋은 성분 가득 들어가있다! 미백을 담당하는 알파-비사보롤과 주름개선을 담당하는 아데노신도 들어있으니 기능성 제품이라 할 수 이따
👉제형
제품명이 크림앰플이라고 해서 어떤 제형일지가 정말 궁금했는데, 딱 크림스러운 앰플이다ㅋㅋ 색은 크림스러운데 손등에 톡 떨어뜨려보면 또르르 굴러가는 앰플처럼 묽은 제형! 
👉보습
앰플처럼 묽은 제형이라 아무리 ""고농축 보습 앰플""이라고는 하지만 과연 보습 효과가 뛰어날까? 했는데, 아주 굿....♥ 완죠니 마음에 들었다. 겨울철에 피부가 금방 퍼석해지고 건조해서 늘 수분크림 낭낭하게 발라주는 편인데 와웅... 쵹쵹하다. 고농축 보습 앰플이라는 타이틀만 믿고 스킨으로 결정리 후 이것만 바르고 잔 적 있는데 놀랍게도 피부가 전혀 당기지 않았다!! 인정드립니다.... 굿....
👉발림성
앰플의 장점을 살려 챱챱해주면 금방 빠르게 흡수된다! 바르고나서 끈적하지도 않고 피부가 쫀득한 그런 느낌쓰. 아주 훌륭해....♥ 크림앰플이라는 타이틀 완전 인정..
👉기능성/트러블
새로운거 시도해볼 때 트러블 날까봐 조마조마하는데, 트러블 없음! 오히려 있던 트러블 잠재워주심... >< 시기상 우연의 일치로 트러블이 들어갔을 수도 있지만 열흘넘게 쓰고있으면서 그 차분해진 피부가 유지되고 있다. 너무 좋으다
그리고 성분에서도 적었다시피 미백,주름개선 기능성!
👉용기모양
내가 제일 싫어하는 용기가 위생적으로 관리가 잘 안되는 단지형 용기이다. 하지만 이것은 스포이드 모양이라 위생적으로 원하는 부위에 톡 떨어뜨릴 수 있다. 채고채고다❣ 스포이드 넣을 때 살짝 뻑뻑하게 들어간당
👉용량/가격
다른 앰플들 처럼 조그마한 용량 30ml 가격이 원가로 하면 28000원이니까 저렴하진 않다 ㅠ 
하지만 이것 말고는 단점 없음요
비피다 콤플렉스 앰플 이번 겨울에 산 거 있는데, 리얼베리어 크림 앰플 오고나서는 계속 이것만 쓰는중....ㅋㅋㅋㅋ ㅠㅠ 비피다씨 미안... 이게 더 좋아..... 비피다씨는 언니 줘야겠다 나는 계속 크림앰플을 사용할 것 같당
⭐사용팁은,
왼뺨에 한번 톡, 오른뺨에 한번 톡, 이마에 한번 톡 이렇게 세방울이면 따로 수분크림 안발라도 괜챦았다. 아주굿 굿이에요 굿굿ㅎㅎㅎ ",
"리얼베리어 익스트림크림 50ml 27,500원
이 제품 역시 10통 넘게 꾸준히 사용하고 
후기를 전해드립니다 !! 써보고 좋은것만 전하고 싶은..!!
제형은 사진으로 보시다시피 꾸덕~쫀쫀한 텍스쳐 입니다.
새제품 뜯은 기념으로 ㅋㅋ 푹 한번 눌러서 보여드립니다!
처음 이 제품의 선택 이유는
1. 72시간 보습지속
2. 고농축탄력보습
3. 민감피부 촉촉진정 
이 3가지의 제품 특장점 (ㅋㅋ 제품만든 사람들의 의견)
이었고요!! 
아래는 실제 제 사용후기 입니다!!
1. 수분감&지속력:
저녁에 충분히 바르고 아침까지 느끼는 수분감
(속당김, 겉당김 모두 매우만족)
2. 향: 무향
3. 흡수느낌: 제형이 약간 묵직한 느낌이어서 흡수가 안될까 좀 우려스러웠으나, 흡수도도 좋습니다. 겉도는 느낌 없어요.
4. 민감피부 진정도: 좋음/ 저녁 사용 후 아침에 일어나면 침착(?)하게 진정된 느낌
첫사진-손등에 그냥 올림, 두번째- 한번 쓰윽, 세번째 살짝 펴바름
사진을 자세히 보시면 검지, 중지 쪽만 펴발랐어요.
얇게 펴바른 사진이지만 흡수정도, 촉촉한 수분감이 보이시나요??
아침, 저녁 쌀쌀해지는 날씨+ 여름보다는 겨울 장벽크림, 리얼베리어 익스트림 크림
리얼베리어 크림라인 중 
익스트림 크림, 인텐스 모이스처크림, 시카 리페어크림 
세 제품을 모두 써봤는데요. 요즘 처럼 일교차 커지는 시기, 찬바람으로 피부를 보호해야 하는 시기에는
익스트림 크림을 가장 추천 합니다 !!",
"악건성기준 리얼베리어 익스트림 크림
발림 ★★★★★
촉촉함 ★★★★★
가격 ★★★★★
진정 ★★★★★
평소에 정말 심한 건성이에요ㅠㅠ
건성분들은 아시겠지만
겨울이 오는 게 정말 두렵잖아요.....
특히 지금 마스크도 쓰고 다니니 
더 건조해지더라구요
날이 스멀스멀 추워지더니
저는 저저번주? 부터 확 건조해지는 걸 느꼈어요
로션 듬뿍 바르고 밖에 나가도 
2~3시만 되면 쩍쩍 갈라지는 느낌..
그래서 여분의 로션을 챙겨 다니면서 덧바르고 해도
금방 또 건조해지더라구요
저는 이 제품을 쓰기 전에 피지오겔을 썼고
여분으로 들고다닌 것도 피지오겔이에요!!
그러다가 전에 디렉터 파이님이 추천하셔서
캡쳐해두었던 사진을 발견했고
서칭을 이곳저곳 해보니 정말 효과가 좋다는 글이 많아서
질렀는데 정말 효과 많이 봤어요
이렇게 손에 딱 들어오는 사이즈인데요
무게가 꽤 나가요
그만큼 굉장히 꾸덕한 텍스쳐를 가지고 있어요!!
이렇게 제가 썼던 모양대로 굳어 있는데요
별로 사용 안 한 것처럼 보이죠..?
아주 소량만 사용해도 꾸덕꾸덕해서 
겨우 저만큼 쓴 거랍니다
지금 2주일?차인데도 저만큼 쓴 거면
아주 이번 겨울은 거뜬하겠어요,,,!!
꾸덕함을 보여드리려고 손등에 한번 발라봤는데요
꾸덕함이 느껴지시나요?
냉장고에 들어있던 버터를 빵 위에 바로 바른듯한..(배고파ㅠ)
느낌으로 발려요
질감 확인해보세요!!
이렇게 꾸덕한 질감을 가지고 있지만
얼굴에 도포하면 얼굴이 끈적이지도 않는 매직..
크림을 바른 직후예요
이제 막 샤워를 하고 수건으로 톡톡. 한 것처럼
뽀송해보이죠?
(핑크 잠옷은 눈감아주세요....)
그리고 저 볼과 콧등, 이마에 좁쌀 여드름 참 많았는데
건조함을 잡아줬더니 좁쌀 여드름도 싹 사라졌구요
그냥 평생 홍조 가지고 살아야할 거라고 생각했지만..
홍조도 사라졌어요............
대박이지 않나요
원래 자다 일어나면 건조해서 머리맡에 꼭 미스트 두고 잤는데
이젠 자다가 일어나도 촉촉함 그대로 남아요..
요새 세수하면 어찌나 피부가 좋은지
친구들한테 제 피부 좀 만져보라고 한답니다...!!",
"요즘처럼 건조함에 마스크까지 쓰느라 피부가 너무 심하게 뒤집어지고 붉어져서 피부진정,보습,재생쪽 크림을 알아보다 리얼베리어 익스트림 크림을 구매하게 되었어요.
피부장벽이 약해지면 수분손실이 많아지는데!  지금 딱 피부상태죠!😭
익스트림 크림은 특허/독자 세라마이드 성분으로 피부 지질 구조를 재현하여 손상된 피부장벽 강화에 도움을 주고 건강한 피부로 가꿔준다고 해요.
왜이렇게 아껴 발랐을까요?ㅎㅎ
꾸덕한 느낌의 제형으로 하드한 타입인데 롤링해보면 발림성은 괜찮은 편이고 매트하게 마무리되서 이게 바른건가 하는 생각이 들더라구여..너무 다 속 스며들어버려서..내피부가 이렇게 메말라있었나..광이 전혀없이 마무리되여..전혀 자극감은 없고 아로마향인건가 좀독특한 향이 있어요.
익스트림 크림의 3중보습으로 속보습잡고 겉보습으로 수분 손실량을 줄여 촉촉하고 튼튼한 피부장벽으로 올봄을 맞이할수 있겠죠?ㅎ
올리브영에서 익스트림크림과 이것저것 5만원이상 구매해서 키트박스도 받았답니다.
그와중에 쌤플키트들중에 리얼베리어 익스트림 크림과 비슷한 인텐스 모이스처 크림이 있더라구여.
아..이걸보는순간 보습과장벽이라면 내가 이걸 사려던게 아니였나...잘못 집어왔던건가..
ㅋㅋ익스트림 크림으로 장벽강화가 튼튼하게 된다면 인텐스 모이스처 크림은 다음 기회에~ㅎ
몇일 사용결과 붉은기나 자극받았던 흔적은 많이 좋아지고 있어서 꾸준히 사용해보면  좋을꺼같아요.",
"바로 '리얼베리어 익스트림 크림' 입니다!
저처럼 4계절 내내 보습이 필요한 건성분들은 보습력이 좋다고 소문이 자자한 이 제품을 들어보셨을 것 같아요. 
약해진 피부장벽을 탄탄하게 케어하는 real 피부장벽 강화 크림!! 
건성에 민감성인 저는 언제나 화장품 유목민이었고...직접 발라보고 구매했답니다. 
발라보니 너무너무 촉촉해~~~~~~
꾸덕한 크림~밤 정도의 제형이구요.
제형만으로도 벌써 보습감이 느껴지지 않나요? 
제품에 적힌 사용법은 
적당량을 덜어 피부결을 따라 얼굴 전체에 부드럽게 펴 바르고 체온으로 감싸 흡수시켜 주라고 합니다!
● 피부장벽 강화 임상 테스트 완료
● 72시간 보습 지속 효과 임상 테스트 완료
● 피부 자극 테스트 완료
손등의 반만 발라보았는데, 저 반질반질거리는 거 보이시나요? 엄청난 보습감! 
곧 피부에 스며들어 피부 안은 촉촉해지고, 겉은 광이 돌아요! 전혀 끈적거리지 않습니다!!! 
너무 좋은데, 극극극민감성인 저에게는 어떤 성분이 맞지 않았나봐요..ㅠ 화해앱으로 성분 검사를 해보니 
민감성엔 세이지오일(살비아오일)이 아로마오일로 피부자극이 있다고는 나오는데..이것 때문일까요? 
 바르면 피부 안에서 염증성이 올라오는 듯한 느낌을 받아 현재 얼굴에는 사용 중지한 상태입니다. 
저처럼 극 민감성이신분들은 꼭 성분 확인해보고 구매하세요! 
그러나 온몸이 건성인 저는 몸에다가 촵촵 발라주고 있습니다! 
보습 효과는 너무너무 좋아요~!! 
저처럼 건성이시고, 매일 보습이 필요하다 하시는 분들께 추천드립니다!!!",
"요즘 마스크 끼느라 트러블안나시나요
저만 나나요...
트러블이 너무많이 나서 스트레스가 이만저만이 아니에요 ㅠ
트러블로 고민받아 지인분께서 추천해줘서 구매했어요 
인터넷으로 주문해서 오늘받은거라 바로 리뷰해요 
좋다는거 이거저거 써보는중이긴한게 
그래도 
트러블이 가라앉지 않아요...
진짜 스트레스..
이크림 리뷰는 호불호없이 평이 좋아서 혹시나 고민하는 분들도 구매해보셔서 사용해보셔도 좋을것같아요  ",
"리얼베리어 익스트림 크림 마스크(real barrier extreme cream mask)
찬바람 불면 제일 먼저 손가는 마스크팩
리얼베리어 익스트림 크림 마스크팩를 쓰기 시작한 세번째 겨울이다.
워낙에 지성피부고 해서 쫀쫀한 느낌의 마스크팩은 손이 가지 않았는데
찬바람이 불기 시작하면 건조해서 따끔거리기 시작했다  ㅠㅠ
사실 처음써본건 왓슨스에서 세일을 크게해 쟁여온
리얼베리어 시카릴리프 크림 마스크였다 
크림마스크팩은 처음써본거였지만 '시카'가 붙어있는것을 보고 냉큼 집어왔고
건성인 엄마와 지성인 나 둘다 만족하는 마스크 팩이었다!!
쟁여온걸 다 쓰고 다른 라인도 써보고 싶어
리얼베리어 익스트림 크림 마스크도 사보았고 기대만큼 좋아 정착하게 되었다.
 사용법은 망사 재질의 지지체가 겹쳐져있는 상태로 지지체를 바깥으로 하여 얼굴에 얹은 후
밀착이 완료되면 지지체를 제거해 주면 된다.
사실.. 전자기기 사용법은 엄청 읽으면서 마스크팩 사용법은 읽어볼 생각을 못했다..ㅎ
이 포스트 작성하려고 사진찍으면서 발견했다....ㅎ...
그래도 다행이 피부에 닿는 면은 올바르게 했음을 위안 삼는다...
아무튼! 그동안 많은 마스크팩을 거쳤지만 
리얼베리어 익스트림 크림 마스크 만큼 지속적으로 사용하는 마스크팩은 처음이다.
그래서 점점 더 건조해지는 요즘 미리 쟁여놓은 크림을 다 쓰면  
리얼베리어에서 나오는 크림들을 써볼 계획이다.",
"첨에 리얼베리어라는 브랜드가 있는지도 몰라썽요
근데 인터넷에 하도 후기가 좋길래 덥썩 질렀는데 
이게 모야.. 괜찮네~? 꾸덕꾸덕하니 ..내 피부 완전 건조그자체인데 요고 바르니까 촉촉하니 다음날 일어나면 보들보들
살짝 유분이 많은 것 같기도 하지만 겨울에 딱 좋다 ! 
건성피부들 환영이용 촠촠하다구옷 
그래서 무조건 밤에 바르고 자야해요!!!!!!!
그리고 많이 오일리(?)하지 않아서 
기초 단계 후 마무리단계에서 사용하시는 걸 추천드려요 왜냐면 수분크림 하나만 바르면 건조해짐을 느낄 수 있거둔요 ! ",
"저는 일단 어릴때부터 아주아주 건조한 피부를 가지고 살아왔는데요...
환절기나 간절기나 조금만 건조한 계절이 찾아오면 
바로 얼굴부터 당기고 보는..
악건성인 분들만 이해하는 그 고통 ㅠㅠ 
진짜진짜 살앙하는 인생템 두 가지중 하나인데
하나는 피지오겔 크림이구 하나는 바로 
리얼베리어  익스트림 크림입니다!!!
N통째 너무 잘쓰고 있는데 마침 또 떨어져서 
리얼베리어익스트림크림
몰랐는데 이거
약산성 장벽 강화 크림? 
약하디 약한 내 피부에 찰떡이였어 역시
리얼베리어 익스트림 크림
구성은 요롷게! 
오른쪽 배리어 키트에는 
여러가지 샘플 화장품이 들어있어서 
더더 알찬 구성인 것 같아요! 
좋은 가격에 겟한거같아서 
기분이가 좋다...
리얼베리어에서 나온 
클렌징폼이랑 크림이랑 앰플
나중에 여행갈때 가져가야지 룰루
(여행 언제갈수 있어..?)
본품 개봉><
딱 봐도 쫀쫀해 보이지 않나영? 
손등에 소량 발라서 문질문질 해 보았읍니당
부드럽구 촉촉하구
보습이 바로 되버리는 나의 인생템💓
 저언혀 끈적이지두 않고 쏙 
스며듭니다 히히
저처럼 건성 악건성이신 분들
기초템 정착 못하신분들은 
꼭 써보세용!!!!",
"최근 마스크+수면부족으로
피부가 뒤집어지고 환절기로 점점 건조해지면서
수분크림을 발라도 시간이 지나면 건조해지길래
유수분을 잡아주는 크림이 필요했다.
너무 귀여운 이슬톡톡 패키지
피부장벽을 탄탄하게 케어하는 
피부장벽 강화 크림!!
몇일동안 밤낮으로 크림을 발라봤는데
확실히 피부 장벽이 튼튼해져서 인지
건조함이 덜하고, 피부결이 정돈되어갔다.
지인덕분에 임직원 할인까지 받아서 저렴하게
구매했지만
이것저것 사담았더니
그리고 이 크림의 장점은 화장이 절대 밀리지 않는다
단점은 여름철에 쓰기엔 유분감이 있어서
번들거리는게 싫다면 나이트케어용으로
사용하는것을 추천!",
"제 피부 타입은 '지성/민감성'입니다 보실 때 참고하세요❗ 
2세대로 리뉴얼 됐다는 소식에
살지 말지 고민하던 차에 샘플 증정 이벤트를 하길래
바로 신청했어요!
요즘은 배송비도 없는 샘플 체험 이벤트가 많은데
저는 샘플 써보고 좋으면 바로 사는 타입이라
저 같은 소비자들에게는 미리 써볼 수 있어서
참 좋은 이벤트인 것 같아요!
두둥-!
결국 기존 제품을 다 쓰지도 않았는데
바로 구입해버렸습니다-!
익스트림 크림만 사려고 했는데
어쩌다 보니 시카릴리프 크림이랑
스팟 패치까지 사버렸다는ㅋㅋㅋㅋ
사은품 많이 주는 리얼베리어는 사랑입니다,,❣️
집에 있는 리얼베리어 제품 중에
파랑파랑한 애들이랑 같이 모아놓고 찍어봤어요ㅎ
저는 사계절 내내 리얼베리어를 쓰기 때문에
항상 쟁여놓는 답니다!
리얼베리어 러버로써
1세대와 2세대가 뭐가 다른지
전격 비교해보겠습니다!
왼쪽이 기존 1세대 익스트림 크림
오른쪽이 2세대 익스트림 크림이에요
용량은 똑같이 50ml인데
1세대와 차이를 두기 위해서인지
용기가 달라졌어요
1세대 용기보다 높이는 살짝 낮고
너비가 넓은 투명 용기를 사용하더라고요!
저만 그런지는 모르겠지만
사실 화장품 살 때 안 좋은 성분이 없는지만 살피고
'모공을 줄여준대!', '피부가 하얘진대!'
이런 효능에 넘어가서 사는 경우가 더 많은 것 같아요ㅎ
그래서 이번에는 성분에 관심을 갖고
세라마이드가 무엇인지 검색을 해봤어요!
세라마이드란
피부 세포 가운데 표피 각질층의 지질막 성분의 하나로
피부 표면에서 손실되는 수분을 방어하고
외부로부터 유해 물질의 침투를 막는 역할을 하는 물질
시중에 리얼베리어 제품말고도
세라마이드 화장품이 많이 있잖아요
단순히 피부장벽에 좋은 화장품 성분일 거라고 생각했는데
피부 세포를 구성하는 물질인 줄은 처음 알았어요!🤭
리얼베리어가 건강한 피부 지질 구조를 재현해
무너진 피부 속 공간을 채워서 탄탄한 피부장벽을
만들 수 있도록 만든 제품이 익스트림 크림인거죠!
특허 세라마이드 성분이 3배로 업그레이드되어
피부장벽이 2배 빠르게 개선된다고 해요!
기존 1세대 익스트림 크림도
새로 개봉한지 얼마 안 됐지만
인생템이 2세대로 리뉴얼됐다길래
바로 개봉해서 사용해봤는데요
크림이 살짝 더 하얘진 느낌!
발림성은 기존 제품과 비슷한데
아주 사알짝 더 꾸덕한 느낌
2세대를 쓰자마자 1세대랑 달라진 점을
느낄 수 있었던 건 바로 향이에요!
기존 1세대는 향이 엄청 약해서 부담없이 잘 썼었거든요
근데 2세대는 세라마이드 성분이 3배 들어있어서 그런지
약국냄새가 나요!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
총 평:
원래 트러블이 주기적으로 나는 편인데
익스트림 크림 때문인지는 모르겠지만
트러블이 별로 안 나게 된 것 같은 느낌,,
약국 냄새 같은 향이 나지만
바르다 보면 거부감이 느껴지는 향은 아니라서
피부가 더 좋아지겠지 하면서 바르고 있어요!
저는 앞으로도 계속 재구매할 것 같아요!
1세대와 마찬가지로 2세대도 추천합니다~!",
"피부장벽 크림으로 유명한 리얼베리어 익스트림크림 은 리얼베리어 수분크림 중에서 가장 촉촉한 타입이다.
아쿠아수딩젤크림 < 인텐스모이스처크림 < 익스트림크림
엄마가 샤넬 수분크림 쓰시다가 이걸로 갈아타심
만족스러우신지 3번째 재구매중이다! 
나는 수분크림 유목민이라 다양한거 써보는데
유세린 나이트크림 거의 다써가는데 
같은 양을 바른다고 했을때 유세린보다는 
리얼베리어가 더 촉촉한듯...ㅠㅠ 
(참고로 건성)
사실 샘플들 더 있는데 까먹고 못찍음
미스트 ! 작아서 파우치에 넣어 다니기 좋을듯
리얼베리어 수분크림의 
장점1. 중간 마개?가 있어서 위생적이다
장점.2 스패출러가 있어서 위생적이다
단점.1 스패출러 어디 두기가 애매....꽂아둘데좀 만들어줘요
텍스처/발림
가득 들어있는 크리무~
꾸덕한 생크림같은 질감의 크림이다
피부장벽 크림으로 유명한데,
적절한 유분감이 있어서 한겨울,환절기에 좋고,
여름은 피해야 할 것 같다 ㅎㅎ
또 잘 흡수시켜주고 나면 끈적이거나 
과한 광이나거나 하지는 않는다.
이번거 다쓰고 다음거 주문할때는 초여름쯤 될테니
인텐스 모이스처 크림으로 사드려야겠다:)",
